News Organization,Tweet Text,Positive Sentiment,Negative Sentiment,Neutral Sentiment,Compound Sentiment,Time of Tweet
CBS,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…",0.209,0.0,0.791,0.7003,2018-03-24 22:25:03+00:00
CBS,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest,0.115,0.185,0.7,-0.34,2018-03-24 22:46:43+00:00
CBS,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest,0.115,0.185,0.7,-0.34,2018-03-24 22:46:43+00:00
CBS,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P,0.199,0.0,0.801,0.5399,2018-03-24 22:46:53+00:00
CBS,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P,0.199,0.0,0.801,0.5399,2018-03-24 22:46:53+00:00
CBS,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR,0.157,0.062,0.78,0.5319,2018-03-25 17:15:25+00:00
CBS,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR,0.157,0.062,0.78,0.5319,2018-03-25 17:15:25+00:00
CBS,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs,0.0,0.0,1.0,0.0,2018-03-25 23:57:34+00:00
CBS,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs,0.0,0.0,1.0,0.0,2018-03-25 23:57:34+00:00
CBS,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj",0.378,0.0,0.622,0.807,2018-03-26 16:05:18+00:00
CBS,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj",0.378,0.0,0.622,0.807,2018-03-26 16:05:18+00:00
CBS,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,0.214,0.0,0.786,0.7959,2018-03-26 16:59:19+00:00
CBS,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,0.214,0.0,0.786,0.7959,2018-03-26 16:59:19+00:00
CBS,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",0.0,0.0,1.0,0.0,2018-03-26 20:42:48+00:00
CBS,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",0.0,0.0,1.0,0.0,2018-03-26 20:42:48+00:00
CBS,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",0.12,0.0,0.88,0.508,2018-03-26 22:14:25+00:00
CBS,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",0.12,0.0,0.88,0.508,2018-03-26 22:14:25+00:00
CBS,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj,0.099,0.0,0.901,0.296,2018-03-27 17:00:00+00:00
CBS,Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj,0.099,0.0,0.901,0.296,2018-03-27 17:00:00+00:00
CBS,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu,0.212,0.108,0.68,0.3818,2018-03-27 21:00:01+00:00
CBS,Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu,0.212,0.108,0.68,0.3818,2018-03-27 21:00:01+00:00
CBS,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R",0.0,0.0,1.0,0.0,2018-03-29 17:30:02+00:00
CBS,"Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R",0.0,0.0,1.0,0.0,2018-03-29 17:30:02+00:00
CBS,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv",0.0,0.0,1.0,0.0,2018-03-29 17:32:40+00:00
CBS,"Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv",0.0,0.0,1.0,0.0,2018-03-29 17:32:40+00:00
BBCWorld,Turning bread into beer to fight food waste https://t.co/4G2RZnHwF8,0.0,0.435,0.565,-0.6597,2018-03-29 23:19:50+00:00
BBCWorld,Colorado senator explains white privilege to colleagues https://t.co/9mL32lOf1d,0.263,0.0,0.737,0.3612,2018-03-30 00:03:14+00:00
BBCWorld,The teenager sentenced to 241 years in prison https://t.co/Hpr3KNH6AQ,0.0,0.386,0.614,-0.5267,2018-03-30 00:14:10+00:00
BBCWorld,"Obituary: Johan van Hulst, the teacher who saved Jewish children https://t.co/Rme8DazkLW",0.219,0.0,0.781,0.4215,2018-03-30 00:16:45+00:00
BBCWorld,Myanmar's Rohingya stuck in Bangladesh's 'no man's land' https://t.co/2i5yVG0nxC,0.0,0.375,0.625,-0.4939,2018-03-30 00:36:26+00:00
BBCWorld,Volkswagen's car 'graveyard' in California https://t.co/WPqjrzIAV3,0.0,0.0,1.0,0.0,2018-03-30 00:51:51+00:00
BBCWorld,Syria war: France offers to mediate between Turkey and Kurds https://t.co/PW3KxVlsaf,0.0,0.281,0.719,-0.5994,2018-03-30 01:58:17+00:00
BBCWorld,Russian spy: How big is the Kremlin's diplomatic network? https://t.co/8Ys9Klw0KP,0.0,0.0,1.0,0.0,2018-03-30 02:13:57+00:00
BBCWorld,Africa's week in pictures: 23-29 March 2018 https://t.co/OaN91YnM2C,0.0,0.0,1.0,0.0,2018-03-30 02:21:14+00:00
BBCWorld,El Salvador's shackled deportees become friends in adversity https://t.co/30m9g4A9mA,0.24,0.217,0.543,0.0772,2018-03-30 02:24:13+00:00
BBCWorld,"RT @BBCNewsAsia: A strong magnitude 6.9 earthquake has struck off the cost of Papua New Guinea's New Britain island, the US Geological Surv…",0.13,0.079,0.791,0.3182,2018-03-30 02:37:02+00:00
BBCWorld,"RT @BBCNewsAsia: Even in no man's land, Rohingya children know how to play and have fun. https://t.co/CEHN7XNEHS",0.26,0.1,0.639,0.5423,2018-03-30 03:27:13+00:00
BBCWorld,"RT @BBCBreaking: Israeli shelling reportedly kills a Palestinian in Gaza, where tension is high ahead of a protest along the border https:/…",0.0,0.315,0.685,-0.7783,2018-03-30 04:25:00+00:00
BBCWorld,Shelling 'kills Palestinian' in Gaza https://t.co/waX7SlXTUt,0.0,0.412,0.588,-0.5423,2018-03-30 04:28:03+00:00
BBCWorld,Cathay Pacific ends skirts-only rule for female staff https://t.co/3PTcts8skV,0.0,0.0,1.0,0.0,2018-03-30 04:42:04+00:00
BBCWorld,"RT @BBCNewsAsia: ⚡️ “Camera lost at sea for over two years found and returned to owner”

https://t.co/V9moYw1ehI",0.0,0.126,0.874,-0.3182,2018-03-30 04:42:27+00:00
BBCWorld,RT @BBCNewsAsia: Just in case you missed this epic story of how a camera lost at sea for more than two years was discovered on a Taiwan bea…,0.0,0.158,0.842,-0.5423,2018-03-30 04:44:59+00:00
BBCWorld,Korean Air 'nut rage' heiress makes management comeback https://t.co/nmrvz2wGnG,0.0,0.31,0.69,-0.5574,2018-03-30 04:51:40+00:00
BBCWorld,"RT @BBCNewsAsia: Brace yourselves. 

China's defunct space lab, Tiangong-1, should fall to Earth over the weekend. https://t.co/D6zHr74mUA",0.0,0.0,1.0,0.0,2018-03-30 05:12:28+00:00
BBCWorld,RT @BBCNewsAsia: The former Korean Air executive who was sacked and jailed for a 'nut rage' tantrum on board a plane has made a corporate c…,0.0,0.324,0.676,-0.8625,2018-03-30 05:49:39+00:00
BBCWorld,Easter: Irish pubs lift Good Friday alcohol ban https://t.co/Jfs8mwLBqL,0.215,0.267,0.519,-0.1779,2018-03-30 05:55:35+00:00
BBCWorld,"Colombian church donates 250,000 communion wafers to Venezuela https://t.co/UWTGBxvtQx",0.0,0.0,1.0,0.0,2018-03-30 07:18:08+00:00
BBCWorld,The South Korean rock band returning to perform in Pyongyang https://t.co/Wdyum09TQf,0.0,0.0,1.0,0.0,2018-03-30 07:27:58+00:00
BBCWorld,"RT @BBCVishalaSP: Female cabin crew at Cathay Pacific have won a battle to scrap a rule forcing them to wear skirts, we're asking does work…",0.136,0.095,0.769,0.2732,2018-03-30 07:46:20+00:00
BBCWorld,Grace Mugabe's farm invaded by Zimbabwe gold diggers https://t.co/tTffJxjUDr,0.259,0.0,0.741,0.4215,2018-03-30 09:01:54+00:00
BBCWorld,NZ seniors' group hits back at 'elderly driver' plates https://t.co/KrHANEWpya,0.0,0.0,1.0,0.0,2018-03-30 09:27:39+00:00
BBCWorld,Facebook 'ugly truth' growth memo haunts firm https://t.co/wkFtFBoWsH,0.345,0.373,0.282,-0.1027,2018-03-30 09:51:30+00:00
BBCWorld,Russia state of emergency as toxic dump fumes hit town near Moscow https://t.co/jzgICamFwk,0.0,0.387,0.613,-0.6486,2018-03-30 10:10:34+00:00
BBCWorld,"Coffee sold in California must carry cancer warning, judge rules https://t.co/TcX5BjGb8o",0.0,0.43,0.57,-0.7783,2018-03-30 11:04:58+00:00
BBCWorld,Spy poisoning: Russia expels 'unfriendly' Western diplomats https://t.co/BKgQvPNzfc,0.0,0.516,0.484,-0.7506,2018-03-30 12:04:18+00:00
